ResponseId,Country_Normalized,ConvertedCompYearly,devtype_grouped,PlatformHaveWorkedWith
700,Germany,139628.0,Software Developer,Amazon Web Services (AWS)
700,Germany,139628.0,Software Developer,Cloudflare
700,Germany,139628.0,Software Developer,Google Cloud
700,Germany,139628.0,Software Developer,Heroku
700,Germany,139628.0,Software Developer,Vercel
701,Canada,181732.0,Infrastructure & DevOps,Amazon Web Services (AWS)
701,Canada,181732.0,Infrastructure & DevOps,Vercel
703,USA,205000.0,Software Developer,Amazon Web Services (AWS)
707,Venezuela,12000.0,Software Developer,Google Cloud
707,Venezuela,12000.0,Software Developer,Managed Hosting
708,Japan,50915.0,Research & Education,Amazon Web Services (AWS)
710,France,69814.0,Software Developer,Digital Ocean
710,France,69814.0,Software Developer,Google Cloud
712,Latvia,32222.0,Management,Amazon Web Services (AWS)
712,Latvia,32222.0,Management,Google Cloud
715,USA,163000.0,Software Developer,Microsoft Azure
718,Sweden,70584.0,Software Developer,Amazon Web Services (AWS)
719,Costa Rica,200000.0,Software Developer,Amazon Web Services (AWS)
720,Italy,107406.0,Software Developer,No platform reported
722,Poland,74239.0,Software Developer,Google Cloud
723,India,9571.0,Software Developer,Amazon Web Services (AWS)
723,India,9571.0,Software Developer,Cloudflare
723,India,9571.0,Software Developer,Digital Ocean
723,India,9571.0,Software Developer,Firebase
723,India,9571.0,Software Developer,Fly.io
723,India,9571.0,Software Developer,Google Cloud
723,India,9571.0,Software Developer,Heroku
723,India,9571.0,Software Developer,Microsoft Azure
723,India,9571.0,Software Developer,Netlify
723,India,9571.0,Software Developer,OVH
723,India,9571.0,Software Developer,Render
723,India,9571.0,Software Developer,Supabase
723,India,9571.0,Software Developer,Vercel
725,France,66592.0,Research & Education,No platform reported
726,Uk,57325.0,Software Developer,No platform reported
728,Uk,56051.0,Software Developer,Amazon Web Services (AWS)
728,Uk,56051.0,Software Developer,Colocation
729,Italy,27926.0,Software Developer,Amazon Web Services (AWS)
729,Italy,27926.0,Software Developer,Google Cloud
729,Italy,27926.0,Software Developer,Microsoft Azure
729,Italy,27926.0,Software Developer,VMware
730,Germany,214812.0,Management,Amazon Web Services (AWS)
731,USA,105000.0,Software Developer,Firebase
731,USA,105000.0,Software Developer,Google Cloud
731,USA,105000.0,Software Developer,Netlify
733,Brazil,49233.0,Software Developer,Amazon Web Services (AWS)
734,Czech Republic,43435.0,Software Developer,No platform reported
738,Ukraine,48000.0,Software Developer,Amazon Web Services (AWS)
738,Ukraine,48000.0,Software Developer,Netlify
739,USA,70000.0,Software Developer,No platform reported
741,USA,150000.0,Software Developer,Microsoft Azure
742,Uk,127388.0,Management,Microsoft Azure
743,Spain,53703.0,Research & Education,Google Cloud
743,Spain,53703.0,Research & Education,Microsoft Azure
745,Netherlands,91295.0,Software Developer,Amazon Web Services (AWS)
745,Netherlands,91295.0,Software Developer,Scaleway
747,Canada,122124.0,Data & AI,Amazon Web Services (AWS)
751,Norway,149746.0,Software Developer,No platform reported
754,Germany,137136.0,Software Developer,Cloudflare
754,Germany,137136.0,Software Developer,Hetzner
754,Germany,137136.0,Software Developer,"Linode, now Akamai"
760,Austria,80555.0,Software Developer,Amazon Web Services (AWS)
760,Austria,80555.0,Software Developer,Digital Ocean
760,Austria,80555.0,Software Developer,Hetzner
760,Austria,80555.0,Software Developer,Netlify
762,USA,175000.0,Software Developer,Google Cloud
763,USA,39520.0,Research & Education,Cloudflare
763,USA,39520.0,Research & Education,Microsoft Azure
763,USA,39520.0,Research & Education,Oracle Cloud Infrastructure (OCI)
764,Uk,68535.0,Software Developer,No platform reported
765,USA,120000.0,Software Developer,No platform reported
766,Uk,114649.0,Infrastructure & DevOps,Google Cloud
769,USA,80000.0,Software Developer,No platform reported
770,Poland,120000.0,Security & Blockchain,Amazon Web Services (AWS)
770,Poland,120000.0,Security & Blockchain,Microsoft Azure
771,Uk,33121.0,Software Developer,Firebase
773,Ukraine,167.0,Software Developer,Amazon Web Services (AWS)
775,Portugal,128887.0,Software Developer,Firebase
775,Portugal,128887.0,Software Developer,Google Cloud
777,Finland,84851.0,Software Developer,Microsoft Azure
779,Canada,87231.0,Software Developer,Amazon Web Services (AWS)
779,Canada,87231.0,Software Developer,Microsoft Azure
780,Canada,93047.0,Software Developer,Fly.io
780,Canada,93047.0,Software Developer,Google Cloud
781,Israel,64762.0,Software Developer,Microsoft Azure
782,USA,163000.0,Software Developer,Amazon Web Services (AWS)
782,USA,163000.0,Software Developer,Databricks
782,USA,163000.0,Software Developer,Microsoft Azure
783,Germany,78621.0,Software Developer,Cloudflare
783,Germany,78621.0,Software Developer,Google Cloud
786,Netherlands,64444.0,Software Developer,Microsoft Azure
787,Lithuania,85925.0,Management,No platform reported
788,Uk,84076.0,Software Developer,Amazon Web Services (AWS)
789,Germany,83777.0,Software Developer,Microsoft Azure
789,Germany,83777.0,Software Developer,VMware
790,Ukraine,72000.0,Software Developer,Amazon Web Services (AWS)
790,Ukraine,72000.0,Software Developer,Cloudflare
790,Ukraine,72000.0,Software Developer,Digital Ocean
790,Ukraine,72000.0,Software Developer,Hetzner
790,Ukraine,72000.0,Software Developer,"Linode, now Akamai"
790,Ukraine,72000.0,Software Developer,Microsoft Azure
790,Ukraine,72000.0,Software Developer,Netlify
792,Uk,35032.0,Software Developer,No platform reported
