ResponseId,Age,Country_Normalized,ConvertedCompYearly,PlatformWantToWorkWith
30775,25-34 years old,USA,160000.0,Firebase
30775,25-34 years old,USA,160000.0,Google Cloud
30777,25-34 years old,USA,70000.0,Microsoft Azure
30778,25-34 years old,USA,124000.0,No platform reported
30780,35-44 years old,Austria,42962.0,Hetzner
30780,35-44 years old,Austria,42962.0,OpenShift
30782,35-44 years old,Brazil,7459.0,No platform reported
30783,25-34 years old,Uk,107006.0,No platform reported
30789,35-44 years old,Canada,101770.0,No platform reported
30790,25-34 years old,Canada,159924.0,No platform reported
30791,25-34 years old,Brazil,27973.0,No platform reported
30792,35-44 years old,USA,210000.0,Amazon Web Services (AWS)
30794,18-24 years old,Russia,26891.0,No platform reported
30795,18-24 years old,Brazil,15665.0,Amazon Web Services (AWS)
30795,18-24 years old,Brazil,15665.0,Cloudflare
30797,25-34 years old,France,118147.0,OpenStack
30799,35-44 years old,Canada,43616.0,No platform reported
30801,25-34 years old,Brazil,27973.0,Amazon Web Services (AWS)
30801,25-34 years old,Brazil,27973.0,Cloudflare
30801,25-34 years old,Brazil,27973.0,OVH
30801,25-34 years old,Brazil,27973.0,Vercel
30803,18-24 years old,USA,65000.0,Microsoft Azure
30805,45-54 years old,USA,175000.0,No platform reported
30807,18-24 years old,Russia,4034.0,No platform reported
30808,18-24 years old,Germany,5370.0,Managed Hosting
30809,35-44 years old,Norway,76745.0,Render
30810,25-34 years old,Brazil,35433.0,Google Cloud
30811,18-24 years old,USA,69000.0,No platform reported
30813,18-24 years old,USA,30000.0,Amazon Web Services (AWS)
30813,18-24 years old,USA,30000.0,Cloudflare
30813,18-24 years old,USA,30000.0,Digital Ocean
30813,18-24 years old,USA,30000.0,Supabase
30815,25-34 years old,Brazil,7459.0,Amazon Web Services (AWS)
30815,25-34 years old,Brazil,7459.0,Microsoft Azure
30817,45-54 years old,Australia,81922.0,Microsoft Azure
30821,18-24 years old,USA,58000.0,No platform reported
30824,35-44 years old,Germany,94517.0,No platform reported
30829,35-44 years old,USA,60000.0,No platform reported
30830,18-24 years old,Iran,4000.0,Cloudflare
30830,18-24 years old,Iran,4000.0,OpenStack
30830,18-24 years old,Iran,4000.0,Vercel
30831,35-44 years old,USA,175000.0,Alibaba Cloud
30831,35-44 years old,USA,175000.0,Google Cloud
30831,35-44 years old,USA,175000.0,Microsoft Azure
30832,25-34 years old,USA,190000.0,Google Cloud
